Level 1,Level 2,Level 3,Measure Names,NegPos_Number,List of Values,Measure Values
2016FA,Fire Technology--B6002,,Census Enrollment,0 Days,All,100
2016FA,Fire Technology--B6002,,Number Successful,0 Days,All,75
2016FA,Fire Technology--B6002,,Ftef,0 Days,All,0.633
2016FA,Fire Technology--B6002,,Ftes,0 Days,All,10.84
2016FA,Fire Technology--B6002,,Enrollment Capacity,0 Days,All,135
2016FA,Fire Technology--B6002,,Count of Migrated Data,0 Days,All,3
2016FA,Fire Technology--B6002,,Current Enrollment,0 Days,All,100
2016FA,Foreign Language--L5017,,Wsch/Ftef,0 Days,All,428.470919325
2016FA,Foreign Language--L5017,,Success Rate,0 Days,All,0.809264305
2016FA,Foreign Language--L5017,,Sec. Count,0 Days,All,15
2016FA,Foreign Language--L5017,,Retention Rate,0 Days,All,0.874659401
2016FA,Foreign Language--L5017,,Number Retained,0 Days,All,321
2016FA,Foreign Language--L5017,,Ftes/Ftef,0 Days,All,14.282363977
2016FA,Foreign Language--L5017,,Current Fill Rate,0 Days,All,0.725563910
2016FA,Foreign Language--L5017,,Census Fill Rate,0 Days,All,0.725563910
2016FA,Foreign Language--L5017,,Census Enrollment,0 Days,All,386
2016FA,Foreign Language--L5017,,Number Successful,0 Days,All,297
2016FA,Foreign Language--L5017,,Ftef,0 Days,All,4.264
2016FA,Foreign Language--L5017,,Ftes,0 Days,All,60.9
2016FA,Foreign Language--L5017,,Enrollment Capacity,0 Days,All,532
2016FA,Foreign Language--L5017,,Count of Migrated Data,0 Days,All,15
2016FA,Foreign Language--L5017,,Current Enrollment,0 Days,All,386
2016FA,Foreign Languages--B5017,,Wsch/Ftef,0 Days,All,478.934624697
2016FA,Foreign Languages--B5017,,Success Rate,0 Days,All,0.753768844
2016FA,Foreign Languages--B5017,,Sec. Count,0 Days,All,7
2016FA,Foreign Languages--B5017,,Retention Rate,0 Days,All,0.798994975
2016FA,Foreign Languages--B5017,,Number Retained,0 Days,All,159
